gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4602150421	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/ed678bb628eaea19902a76ddbb6e2101.jpg	http://specimens.kew.org/herbarium/K002084002									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4602150391	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/3194c1f08019ab7edbd8027f965c4766.jpg	http://specimens.kew.org/herbarium/K002083636									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4602150388	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/5be2adfc1384e4f9f9caa8f9faf04dec.jpg	http://specimens.kew.org/herbarium/K002083603									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4602150385	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/90575d813f8b63ab2603c027633da024.jpg	http://specimens.kew.org/herbarium/K002083573									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4602150321	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/ee3ba9108e202393d89f825ad6d2e7f1.jpg	http://specimens.kew.org/herbarium/K002082628									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4602149399	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/9f5b7de9bf692a11564fff4b98243800.jpg	http://specimens.kew.org/herbarium/K002083575									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4602149389	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/8a85e505890b1aadb1bd19566bc4f9da.jpg	http://specimens.kew.org/herbarium/K002083458									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4602149374	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/d2965a7408f518772a9584d2de3d2b4d.jpg	http://specimens.kew.org/herbarium/K002083278									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4601944384	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/658b2c1aeb954944d7f3c2ad7c9e59ca.jpg	http://specimens.kew.org/herbarium/K002083600									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4601943434	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/96165ac18a5bd2ea83da4a01347848d8.jpg	http://specimens.kew.org/herbarium/K002084003									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
