gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4601943375					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083280	K002083280	9780	Marrett, L.; Vollesen, K.B.; Bidgood, G.S.																																							2019-11-27 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Multinondo Wilderness Area, Muchele Dambo.		1450.0											-12.45000009	31.30000006																																																						Bulbostylis schoenoides							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				schoenoides					(Kunth) C.B.Clarke					
4601943374					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083277	K002083277	9482	Merrett, L.; Vollesen, K.B.; Bidgood, G.S.																																							2018-11-04 00:00:00.0000000																						Zambia	ZM				Mpika distr, Mutinondo wilderness Aea, East side of Kabasano Dambo.		1450.0											-12.45000009	31.30000006																																																						Bulbostylis schoenoides							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				schoenoides					(Kunth) C.B.Clarke					
4601942642					2024-03-28 18:19:45.180000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002095198	K002095198	A2715	Lebbie																																							2017-05-04 00:00:00.0000000																						Sierra Leone	SL				Sewa River, Approachin Big Bekonger Falls, near Fomaya Village. Kenema District.		159.0											8.5000001	-11.28333339																																																						Bulbostylis cioniana							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				cioniana					(Pi.Savi) Lye					
4601942435					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002084059	K002084059	8900	Bidgood, G.S.; Merrett, L.; Vollesen, K.B.																																							2016-05-18 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Mutinondo Wilderness Area, Little Chipundu Dambo		1450.0											-12.45000009	31.30000006																																																						Bulbostylis tanzaniae							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				tanzaniae					(Lye) R.W.Haines					
4601942421					2024-03-28 18:21:44.803000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083876	K002083876	9060	Bidgood, G.S.; Merrett, L.; Vollesen, K.B.																																							2017-02-01 00:00:00.0000000																						Zambia	ZM				Mpika Distr. Mutinondo Wilderness Area, Lodge Rock to Choso Falls		1450.0											-12.45000009	31.30000006																																																						Bulbostylis hispidula							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				hispidula					(Vahl) R.W.Haines					
4601941444					2024-03-28 18:21:44.803000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083878	K002083878	9017	Bidgood, G.S.; Merrett, L.; Vollesen, K.B.																																							2017-01-30 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Mutinondo Wilderness Area, Lodge Rock		1450.0											-12.45000009	31.30000006																																																						Bulbostylis hispidula							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				hispidula					(Vahl) R.W.Haines					
4601941422					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083599	K002083599	8622	Bidgood, S.; Merrett, L.; K. Vollesen																																							2016-05-04 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Mutinondo Wilderness Area, Lodge Rock		1450.0											-12.45000009	31.30000006																																																						Bulbostylis congolensis							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				congolensis					De Wild.					
4601940601					2024-03-28 18:19:45.180000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002095197	K002095197	A2713	Lebbie																																							2017-05-04 00:00:00.0000000																						Sierra Leone	SL				Approaching Big Bekongor Falls, near Fomaya Village. Kenema District. Sewa River		159.0											8.502000043999999	-11.28722217																																																						Bulbostylis cioniana							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				cioniana					(Pi.Savi) Lye					
4601940403					2024-04-03 18:20:53.290000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002084058	K002084058	9263	Bidgood, G.S.; Merrett, L.; Vollesen, K.B.																																							2017-02-13 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Mutinondo Wilderness Area, Kankonde Camp		1400.0											-12.45000009	31.30000006																																																						Bulbostylis tanzaniae							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				tanzaniae					(Lye) R.W.Haines					
4601940390					2024-03-28 18:21:44.803000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K002083875	K002083875	8605	Bidgood, G.S.; Merrett, L.; Vollesen, K.B.																																							2016-05-03 00:00:00.0000000																						Zambia	ZM				Mpika Distr., Mutinondo Wilderness Area, Campers Rock		1450.0											-12.45000009	31.30000006																																																						Bulbostylis hispidula							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				hispidula					(Vahl) R.W.Haines					
